Country,gti_2011,gti_2012,gti_2013,gti_2014,gti_2015,gti_2016,gti_2017,gti_2018,gti_2019,gti_2020,gti_2021
Norway,6.18170972101085,5.58214486978535,4.98326572505017,4.38575311393223,3.78932183307494,0.0,1.24275573279512,0.827454623845096,2.10746258881228,1.58002476683844,1.10926419435701
Ireland,2.29765676090991,2.06064140998562,1.91232337791181,2.30976857877713,2.02795900826521,1.88329336819768,1.35839136314852,0.891630709376568,1.35839136314852,1.55162940783867,1.05976610192741
Romania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.60286360960968,2.04445438054613,1.52227131292986,1.05976610192741
Finland,0.407014147519911,0.227202431635039,0.0,0.0,0.0,0.0,3.10805650584902,2.53140198246705,1.97649946344328,1.46038921777557,1.00726633972997
Brazil,1.24275573279512,0.827454623845096,0.509012002146956,0.29137851716651,1.73324337382458,1.73324337382458,1.24275573279512,1.52227131292986,1.97649946344328,1.42770681605515,0.951377215628609
Cyprus,1.24275573279512,0.827454623845096,0.509012002146956,0.29137851716651,0.157886978728405,1.24275573279512,1.73324337382458,1.24275573279512,0.827454623845096,1.39374242911026,0.922019120719803
Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73324337382458,1.24275573279512,0.827454623845096
Mauritania,3.89771071937374,3.25511106015147,2.65283790818876,1.98529122282472,1.41089112534596,0.0,0.0,1.73324337382458,1.24275573279512,0.827454623845096,0.509012002146956
Vietnam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52227131292986,1.05976610192741,0.682788983777564,0.407014147519911
Angola,2.93957930123099,2.36790993005434,1.66001829413746,2.01959197833511,1.24275573279512,0.827454623845096,0.509012002146956,1.32153555161098,0.827454623845096,0.509012002146956,0.29137851716651
Czech Republic,0.0,0.0,0.0,0.0,1.73324337382458,1.24275573279512,1.90275443125722,1.39374242911026,0.951377215628609,0.509012002146956,0.29137851716651
Denmark,1.24275573279512,0.827454623845096,0.509012002146956,0.29137851716651,3.06890946279546,2.49333075899528,1.94041170593479,1.84300792500518,1.34015951372473,0.509012002146956,0.29137851716651
Gabon,0.0,0.0,0.0,0.0,0.0,0.0,1.73324337382458,1.24275573279512,0.827454623845096,0.509012002146956,0.29137851716651
Kosovo,3.21588233565139,2.54982780229393,2.81476210104045,2.63236459386144,2.1661956591839,2.81476210104045,2.24744090560375,1.98529122282472,1.42770681605515,0.951377215628609,0.29137851716651
Sudan,5.66914234297922,5.38863195416416,4.97527157470477,4.39878379281334,4.44034201760215,3.79041043266642,3.22009636275523,2.45350853103767,1.84300792500518,0.509012002146956,0.29137851716651
Taiwan,0.0,0.0,0.0,0.0,0.0,0.0,1.52227131292986,1.05976610192741,0.682788983777564,0.407014147519911,0.227202431635039
Albania,0.509012002146956,0.29137851716651,0.157886978728405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,0.29137851716651,0.157886978728405,0.0,0.0,0.0,1.24275573279512,0.827454623845096,0.509012002146956,0.29137851716651,0.157886978728405,0.0
Azerbaijan,2.98486966675291,2.41176643340417,1.52227131292986,1.05976610192741,0.682788983777564,1.24275573279512,0.827454623845096,0.509012002146956,0.29137851716651,0.157886978728405,0.0
Belarus,5.17188167258611,4.57339318946022,3.95444042677994,3.36314364903278,2.77703023392897,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,2.26027048634752,1.72146113954306,0.29137851716651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia,1.42770681605515,0.951377215628609,0.555833180973612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
